Time,BAC,BDT,CLIFTON_COURT,FRK_FRANKSTRACT,GLCGS,GLE,MDM,MHO,MSD,MTB,OLD,ORCCF,PPT,RINDG,SJG,UNI,VIC,VNI,WDCUT
01Jan1990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
02Jan1990,0.171,0.028,0.057,0.016,0.164,0.282,0.162,10.987,0.181,1.004,0.519,0.214,0.054,0.197,0.314,0.490,0.223,0.192,0.146
03Jan1990,0.349,0.101,0.324,0.068,0.634,0.976,0.527,23.392,0.979,2.869,1.752,0.663,0.172,0.529,0.809,0.887,0.602,0.927,0.466
04Jan1990,0.410,0.245,0.634,0.148,1.225,1.531,0.808,27.451,1.530,3.672,2.991,0.906,0.340,0.854,1.198,1.851,0.952,1.733,0.579
05Jan1990,0.529,0.508,0.871,0.248,1.628,2.232,0.894,26.743,1.449,3.352,3.824,1.138,0.532,1.406,1.448,1.993,1.048,2.368,0.663
06Jan1990,0.654,0.940,1.036,0.356,2.120,2.294,0.925,26.237,1.279,3.066,4.323,1.383,0.721,2.315,1.521,1.869,1.139,2.759,0.728
07Jan1990,0.754,1.449,1.123,0.453,2.151,2.113,0.979,23.770,0.808,2.621,3.425,1.411,0.861,3.264,1.426,1.595,1.170,3.004,0.817
08Jan1990,0.841,1.922,1.199,0.529,1.865,1.751,1.057,21.486,0.781,2.199,2.945,1.407,0.954,4.070,1.322,1.094,1.225,2.937,0.905
09Jan1990,0.913,2.177,1.296,0.597,1.705,1.397,1.207,21.367,1.125,2.265,2.594,1.469,1.051,4.686,1.438,1.460,1.324,2.991,0.991
10Jan1990,0.977,2.345,1.365,0.664,1.482,1.745,1.404,21.342,0.745,2.374,2.155,1.493,1.140,4.804,1.544,1.490,1.479,2.978,1.058
11Jan1990,1.040,2.419,1.454,0.730,1.682,1.702,1.588,20.974,0.555,2.483,2.393,1.594,1.199,4.902,1.630,1.195,1.656,2.791,1.132
12Jan1990,1.110,2.444,1.556,0.788,1.763,1.425,1.761,20.659,0.454,2.616,2.157,1.746,1.175,4.556,1.721,1.188,1.828,2.823,1.215
13Jan1990,1.217,2.485,1.676,0.840,1.757,1.458,1.994,23.504,0.195,3.107,2.062,1.935,1.187,4.845,1.904,1.073,2.060,2.976,1.331
14Jan1990,1.354,2.528,1.862,0.906,1.906,1.407,2.284,31.017,0.184,4.616,2.401,2.178,1.300,5.429,2.518,0.855,2.455,3.266,1.565
15Jan1990,1.464,2.452,2.135,0.990,2.072,1.210,2.611,37.145,0.895,6.404,3.083,2.474,1.488,5.915,3.305,0.889,2.842,3.800,1.739
16Jan1990,1.545,2.489,2.412,1.095,2.053,1.579,2.957,40.961,0.793,7.459,3.001,2.673,1.658,6.658,3.948,1.732,3.191,4.367,1.777
17Jan1990,1.667,2.365,2.640,1.215,2.281,2.014,3.232,45.014,0.255,9.152,3.331,2.868,1.863,7.671,4.919,1.016,3.667,4.861,1.865
18Jan1990,1.749,2.270,2.872,1.337,2.700,1.296,3.413,45.581,0.853,9.658,3.910,3.095,2.021,8.844,5.502,0.889,3.680,5.372,1.925
19Jan1990,1.824,2.482,3.006,1.442,2.123,1.503,3.296,40.152,1.170,7.806,3.284,2.859,2.098,9.993,5.698,1.606,3.642,5.586,1.912
20Jan1990,1.908,3.079,3.070,1.529,2.096,1.960,3.273,33.262,1.145,5.968,3.061,2.777,2.115,10.021,5.484,1.556,3.593,5.525,1.981
21Jan1990,1.980,3.813,3.110,1.595,2.393,1.918,3.319,28.763,1.211,5.151,3.194,2.872,2.079,9.927,5.119,1.703,3.519,5.445,2.066
22Jan1990,2.054,4.366,3.140,1.641,2.504,1.998,3.369,25.149,0.952,4.652,3.016,2.907,2.039,9.422,4.824,1.628,3.551,5.193,2.132
23Jan1990,2.067,4.577,3.181,1.674,2.310,1.874,3.449,23.567,0.769,4.638,2.949,2.933,2.067,11.641,4.835,1.417,3.606,5.083,2.183
