Time,BAC,BDT,CLIFTON_COURT,FRK_FRANKSTRACT,GLCGS,GLE,MDM,MHO,MSD,MTB,OLD,ORCCF,PPT,RINDG,SJG,UNI,VIC,VNI,WDCUT
01Jan1990,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02Jan1990,0.17,0.028,0.06,0.02,0.16,0.28,0.16,10.99,1.433,1.00,0.52,0.21,0.05,0.20,0.31,0.49,0.22,0.19,0.15
03Jan1990,0.35,0.101,0.32,0.07,0.63,2.55,0.53,23.39,93.220,2.87,1.75,0.66,0.17,0.56,0.81,25.58,0.60,0.93,0.47
04Jan1990,0.41,0.527,0.63,0.15,2.06,56.85,0.81,27.46,100.000,3.67,8.77,0.91,0.38,1.01,1.21,95.33,0.95,1.73,0.58
05Jan1990,0.54,1.674,0.87,0.38,27.47,92.49,0.89,27.55,100.000,3.35,57.42,3.07,4.51,1.66,1.51,93.54,1.05,2.40,0.66
06Jan1990,1.33,2.047,1.05,1.30,61.15,91.82,0.93,28.05,100.000,3.07,84.92,13.61,12.77,2.64,1.76,91.25,1.14,5.07,0.92
07Jan1990,4.38,2.351,1.24,2.94,61.96,91.05,1.13,25.17,100.000,2.62,87.07,15.13,20.96,3.67,2.05,89.54,1.19,25.66,2.68
08Jan1990,8.22,2.896,1.75,4.97,53.07,90.23,2.04,23.50,100.000,2.25,83.30,15.16,27.51,4.56,2.53,92.76,1.53,50.95,6.16
09Jan1990,11.24,4.482,3.46,7.35,58.32,88.35,3.80,24.83,100.000,2.64,78.45,19.35,33.23,5.30,3.16,89.32,2.66,69.66,9.47
10Jan1990,14.37,4.385,4.71,10.30,53.92,89.48,6.53,24.63,100.000,3.67,76.74,21.13,39.86,5.68,3.81,92.20,4.71,81.64,12.52
11Jan1990,18.23,4.488,6.43,13.83,52.67,90.91,10.32,24.85,100.000,5.56,81.30,22.69,46.98,6.16,4.53,91.54,7.74,88.27,15.97
12Jan1990,22.54,4.417,8.71,17.36,54.14,90.47,15.38,24.78,100.000,8.38,83.23,25.93,50.30,6.76,5.31,90.03,11.88,89.62,20.07
13Jan1990,26.22,4.498,11.66,20.70,60.36,88.59,21.09,28.19,99.952,12.13,82.56,30.12,51.80,8.29,6.08,88.87,17.09,87.50,23.90
14Jan1990,28.57,5.780,15.04,23.92,68.06,88.93,26.10,38.55,99.947,16.26,83.80,35.86,54.20,9.86,6.75,93.11,22.27,89.06,26.75
15Jan1990,30.41,12.508,18.50,27.46,70.80,96.48,30.25,49.10,100.000,20.76,89.71,37.14,57.80,11.18,7.33,98.54,26.90,93.15,28.91
16Jan1990,33.33,17.433,22.29,31.61,77.31,98.76,35.03,51.67,99.722,25.97,93.83,36.85,61.58,12.72,8.04,98.84,31.52,94.97,31.25
17Jan1990,37.76,26.831,25.91,35.65,84.70,98.44,39.61,57.54,99.757,30.54,96.55,40.53,64.59,14.14,8.87,98.91,36.18,95.86,34.53
18Jan1990,42.43,38.204,29.81,39.54,85.47,98.60,43.78,59.32,100.000,34.55,96.93,42.08,67.84,15.78,9.61,99.45,40.69,96.84,39.11
19Jan1990,47.32,39.857,34.24,43.23,84.30,99.06,48.10,54.71,100.000,38.76,97.38,50.30,70.27,17.78,10.36,99.18,45.18,96.73,44.17
20Jan1990,51.71,35.889,38.65,46.62,84.00,99.01,52.35,50.71,100.000,44.03,98.09,56.78,71.43,20.13,10.70,98.29,49.60,95.88,49.03
21Jan1990,54.88,31.128,43.01,49.50,82.67,98.56,56.05,51.59,100.000,48.93,97.73,60.04,71.69,22.64,10.97,97.27,53.69,94.87,52.91
