Time,BAC,BDT,CLIFTON_COURT,FRK_FRANKSTRACT,GLCGS,GLE,MDM,MHO,MSD,MTB,OLD,ORCCF,PPT,RINDG,SJG,UNI,VIC,VNI,WDCUT
01Jan1990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
02Jan1990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
03Jan1990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.000,0.000,0.000,0.000,0.035,0.000,0.000,0.000,0.000,0.000
04Jan1990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.000,0.000,0.000,0.000,0.156,0.008,0.000,0.000,0.000,0.000
05Jan1990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.000,0.000,0.000,0.000,0.253,0.061,0.000,0.000,0.000,0.000
06Jan1990,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.000,0.000,0.000,0.000,0.323,0.237,0.000,0.000,0.000,0.000
07Jan1990,0.000,0.012,0.000,0.000,0.000,0.000,0.001,0.000,0.0000,0.000,0.000,0.000,0.002,0.405,0.626,0.000,0.000,0.001,0.000
08Jan1990,0.000,0.066,0.000,0.000,0.000,0.000,0.001,0.000,0.0000,0.000,0.000,0.000,0.007,0.484,1.211,0.000,0.001,0.020,0.000
09Jan1990,0.001,0.159,0.000,0.001,0.000,0.000,0.002,0.000,0.0000,0.001,0.000,0.001,0.020,0.601,1.723,0.000,0.002,0.110,0.001
10Jan1990,0.004,0.317,0.001,0.004,0.001,0.001,0.004,0.000,0.0000,0.002,0.000,0.001,0.062,0.804,2.263,0.001,0.003,0.327,0.002
11Jan1990,0.012,0.597,0.001,0.012,0.002,0.003,0.008,0.000,0.0000,0.003,0.001,0.003,0.194,0.865,2.895,0.005,0.005,0.767,0.007
12Jan1990,0.040,1.007,0.003,0.026,0.004,0.009,0.017,0.001,0.0000,0.005,0.006,0.007,0.185,0.960,3.590,0.015,0.010,1.236,0.024
13Jan1990,0.065,1.448,0.008,0.033,0.010,0.028,0.037,0.002,0.0000,0.009,0.019,0.018,0.178,1.006,4.178,0.039,0.021,1.370,0.050
14Jan1990,0.069,1.510,0.018,0.037,0.023,0.056,0.066,0.003,0.0000,0.015,0.042,0.032,0.188,1.227,4.232,0.042,0.041,1.238,0.064
15Jan1990,0.066,1.331,0.029,0.039,0.044,0.020,0.099,0.006,0.0000,0.025,0.030,0.050,0.204,1.720,4.018,0.012,0.069,1.070,0.067
16Jan1990,0.064,1.331,0.045,0.042,0.038,0.008,0.147,0.007,0.0000,0.046,0.015,0.069,0.189,1.959,4.078,0.011,0.108,0.950,0.065
