Time,BAC,BDT,CLIFTON_COURT,FRK_FRANKSTRACT,GLCGS,GLE,MDM,MHO,MSD,MTB,OLD,ORCCF,PPT,RINDG,SJG,UNI,VIC,VNI,WDCUT
01Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
02Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
03Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
04Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
05Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
06Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
07Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
08Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
09Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
10Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
11Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
12Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
13Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
14Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
15Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
16Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
17Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
18Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
19Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
20Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
21Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
22Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
23Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
24Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
25Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
26Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
27Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
28Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
29Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
30Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
31Jan1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
01Feb1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
02Feb1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
03Feb1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
04Feb1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
05Feb1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
06Feb1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
07Feb1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
08Feb1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
09Feb1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
10Feb1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
11Feb1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
12Feb1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
13Feb1990,0.00000,0,0.000,0,0.000,0.0000,0.000,0.0000,0,0.000,0.000,0.000,0,0,0,0,0.000,0,0.00000
