Time,BAC,BDT,CLIFTON_COURT,FRK_FRANKSTRACT,GLCGS,GLE,MDM,MHO,MSD,MTB,OLD,ORCCF,PPT,RINDG,SJG,UNI,VIC,VNI,WDCUT
01Jan1990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.00000,0.0000,0.0000,0.00000,0.0000
02Jan1990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.00000,0.0000,0.0000,0.00000,0.0000
03Jan1990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.00000,0.0000,0.0000,0.00000,0.0000
04Jan1990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.00000,0.0000,0.0000,0.00000,0.0000
05Jan1990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.00000,0.0000,0.0000,0.00000,0.0000
06Jan1990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.00000,0.0000,0.0000,0.00000,0.0000
07Jan1990,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.00000,0.0000,0.0000,0.00000,0.0000
08Jan1990,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.00000,0.0000,0.0000,0.00000,0.0000
09Jan1990,0.0004,0.0000,0.0000,0.0049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000,0.00000,0.0000,0.0000,0.00000,0.0001
10Jan1990,0.0021,0.0000,0.0000,0.0134,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002,0.00000,0.00000,0.0000,0.0000,0.00000,0.0009
11Jan1990,0.0067,0.0000,0.0002,0.0294,0.0003,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0006,0.0010,0.00000,0.00000,0.0000,0.0001,0.00001,0.0036
12Jan1990,0.0165,0.0000,0.0008,0.0630,0.0011,0.0000,0.0008,0.0000,0.0000,0.0001,0.0000,0.0022,0.0042,0.00000,0.00000,0.0000,0.0003,0.00003,0.0098
13Jan1990,0.0365,0.0000,0.0024,0.1197,0.0023,0.0000,0.0022,0.0000,0.0000,0.0003,0.0000,0.0050,0.0105,0.00000,0.00000,0.0000,0.0011,0.00013,0.0225
14Jan1990,0.0671,0.0000,0.0053,0.1745,0.0040,0.0000,0.0042,0.0000,0.0000,0.0006,0.0000,0.0103,0.0161,0.00000,0.00000,0.0000,0.0024,0.00030,0.0430
15Jan1990,0.1030,0.0000,0.0107,0.2084,0.0071,0.0000,0.0067,0.0000,0.0000,0.0014,0.0000,0.0199,0.0211,0.00000,0.00000,0.0000,0.0044,0.00033,0.0732
16Jan1990,0.1378,0.0000,0.0212,0.2353,0.0115,0.0000,0.0095,0.0000,0.0000,0.0029,0.0000,0.0377,0.0306,0.00000,0.00000,0.0000,0.0073,0.00049,0.1105
17Jan1990,0.1601,0.0000,0.0351,0.2566,0.0122,0.0000,0.0128,0.0001,0.0000,0.0044,0.0000,0.0520,0.0371,0.00000,0.00000,0.0000,0.0099,0.00069,0.1388
18Jan1990,0.1791,0.0000,0.0498,0.2747,0.0148,0.0000,0.0143,0.0003,0.0000,0.0065,0.0000,0.0657,0.0464,0.00000,0.00000,0.0000,0.0129,0.00083,0.1612
19Jan1990,0.1966,0.0000,0.0641,0.3007,0.0208,0.0000,0.0175,0.0010,0.0000,0.0098,0.0000,0.0707,0.0669,0.00000,0.00000,0.0000,0.0145,0.00150,0.1823
20Jan1990,0.2178,0.0000,0.0764,0.3443,0.0260,0.0000,0.0246,0.0029,0.0000,0.0132,0.0000,0.0742,0.1027,0.00000,0.00000,0.0000,0.0184,0.00365,0.2028
21Jan1990,0.2502,0.0000,0.0877,0.4078,0.0337,0.0000,0.0336,0.0058,0.0000,0.0174,0.0000,0.0828,0.1411,0.00002,0.00000,0.0000,0.0259,0.00779,0.2283
22Jan1990,0.2943,0.0000,0.0993,0.4881,0.0543,0.0000,0.0454,0.0087,0.0000,0.0241,0.0000,0.0997,0.1778,0.00010,0.00000,0.0000,0.0345,0.01674,0.2643
23Jan1990,0.3575,0.0000,0.1158,0.5588,0.0307,0.0000,0.0571,0.0115,0.0000,0.0316,0.0000,0.1143,0.1954,0.00017,0.00000,0.0000,0.0461,0.01741,0.3124
24Jan1990,0.4159,0.0000,0.1400,0.6110,0.0612,0.0000,0.0722,0.0157,0.0000,0.0419,0.0000,0.1453,0.2079,0.00047,0.00000,0.0000,0.0592,0.02024,0.3755
25Jan1990,0.4598,0.0000,0.1675,0.6483,0.0733,0.0000,0.0888,0.0200,0.0000,0.0548,0.0000,0.1737,0.2197,0.00106,0.00000,0.0000,0.0754,0.02073,0.4261
26Jan1990,0.4982,0.0000,0.1976,0.6795,0.0968,0.0000,0.1077,0.0269,0.0000,0.0704,0.0000,0.2039,0.2405,0.00207,0.00000,0.0000,0.0932,0.02369,0.4694
27Jan1990,0.5230,0.0000,0.2246,0.6977,0.0863,0.0000,0.1227,0.0313,0.0000,0.0838,0.0000,0.2222,0.2385,0.00316,0.00000,0.0000,0.1106,0.02607,0.4986
28Jan1990,0.5466,0.0000,0.2501,0.7025,0.0986,0.0000,0.1343,0.0400,0.0000,0.1008,0.0000,0.2511,0.2460,0.00462,0.00000,0.0000,0.1246,0.02240,0.5266
29Jan1990,0.5641,0.0000,0.2759,0.7121,0.1199,0.0000,0.1469,0.0541,0.0000,0.1179,0.0000,0.2754,0.2673,0.00705,0.00000,0.0000,0.1375,0.02500,0.5501
30Jan1990,0.5823,0.0000,0.2986,0.7454,0.1229,0.0000,0.1593,0.0706,0.0000,0.1326,0.0000,0.2970,0.3050,0.01023,0.00000,0.0000,0.1506,0.03284,0.5682
31Jan1990,0.6111,0.0000,0.3163,0.7995,0.1006,0.0000,0.1707,0.0789,0.0000,0.1423,0.0000,0.2901,0.3187,0.01171,0.00000,0.0000,0.1618,0.03685,0.5870
01Feb1990,0.6542,0.0000,0.3332,0.8711,0.1031,0.0000,0.1775,0.0686,0.0000,0.1453,0.0000,0.3194,0.3292,0.01193,0.00000,0.0000,0.1703,0.03505,0.6188
02Feb1990,0.6877,0.0000,0.3495,0.9326,0.0804,0.0000,0.1883,0.0448,0.0000,0.1366,0.0000,0.3224,0.3090,0.01110,0.00000,0.0000,0.1766,0.02708,0.6530
03Feb1990,0.7309,0.0000,0.3704,1.0204,0.1123,0.0000,0.2012,0.0330,0.0000,0.1404,0.0000,0.3484,0.3362,0.01305,0.00001,0.0000,0.1897,0.02422,0.6953
04Feb1990,0.7701,0.0000,0.3942,1.1672,0.1514,0.0001,0.2277,0.0306,0.0000,0.1469,0.0000,0.3310,0.3773,0.01322,0.00004,0.0000,0.2040,0.03586,0.7359
05Feb1990,0.8476,0.0000,0.4151,1.3034,0.1666,0.0001,0.2368,0.0225,0.0000,0.1455,0.0000,0.3566,0.3905,0.01526,0.00006,0.0000,0.2235,0.03127,0.7866
06Feb1990,0.9429,0.0000,0.4410,1.4411,0.1716,0.0001,0.2570,0.0176,0.0000,0.1521,0.0000,0.3948,0.4143,0.01750,0.00012,0.0000,0.2359,0.03426,0.8704
07Feb1990,1.0229,0.0000,0.4728,1.5390,0.1417,0.0001,0.2686,0.0117,0.0000,0.1390,0.0000,0.4291,0.4034,0.01747,0.00012,0.0000,0.2534,0.02739,0.9483
08Feb1990,1.1043,0.0000,0.5122,1.6120,0.1874,0.0001,0.2807,0.0084,0.0000,0.1411,0.0000,0.4876,0.4094,0.01900,0.00018,0.0000,0.2651,0.02099,1.0365
09Feb1990,1.1647,0.0000,0.5553,1.6748,0.1921,0.0000,0.2955,0.0064,0.0000,0.1407,0.0000,0.5226,0.4136,0.02060,0.00022,0.0000,0.2792,0.02627,1.1099
10Feb1990,1.2179,0.0000,0.5944,1.7054,0.1701,0.0000,0.3041,0.0050,0.0000,0.1378,0.0000,0.5556,0.4080,0.02123,0.00022,0.0000,0.2925,0.02344,1.1672
11Feb1990,1.2663,0.0000,0.6333,1.7279,0.1799,0.0000,0.3089,0.0046,0.0000,0.1495,0.0000,0.5958,0.4239,0.02319,0.00030,0.0000,0.2998,0.02235,1.2243
12Feb1990,1.3066,0.0000,0.6724,1.7818,0.2143,0.0000,0.3156,0.0054,0.0000,0.1694,0.0000,0.6406,0.4693,0.02484,0.00045,0.0000,0.3066,0.02733,1.2724
13Feb1990,1.3500,0.0000,0.7027,1.8434,0.1808,0.0000,0.3203,0.0058,0.0000,0.1697,0.0000,0.6536,0.4968,0.02471,0.00049,0.0000,0.3116,0.03184,1.3102
14Feb1990,1.4025,0.0000,0.7284,1.8806,0.1507,0.0000,0.3207,0.0053,0.0000,0.1563,0.0000,0.6955,0.5018,0.02321,0.00040,0.0000,0.3125,0.02787,1.3553
15Feb1990,1.4536,0.0000,0.7582,1.9306,0.1524,0.0000,0.3185,0.0056,0.0000,0.1656,0.0000,0.7621,0.5397,0.02436,0.00048,0.0000,0.3148,0.02411,1.4100
16Feb1990,1.5141,0.0000,0.7967,2.2232,0.3374,0.0000,0.3423,0.0147,0.0000,0.2292,0.0000,0.7693,0.8286,0.02765,0.00119,0.0000,0.3219,0.04555,1.4590
17Feb1990,1.5994,0.0000,0.8174,2.5331,0.2459,0.0000,0.3963,0.0108,0.0000,0.1913,0.0000,0.6560,0.8942,0.02109,0.00124,0.0000,0.3391,0.05817,1.5090
18Feb1990,1.8667,0.0000,0.8380,2.7207,0.1933,0.0000,0.3888,0.0027,0.0000,0.1162,0.0000,0.6073,0.8780,0.01677,0.00109,0.0000,0.3658,0.03441,1.6755
19Feb1990,1.9949,0.0000,0.8776,2.7743,0.1333,0.0000,0.4178,0.0007,0.0000,0.0527,0.0000,0.6887,0.7732,0.01633,0.00077,0.0000,0.3595,0.01871,1.8905
