Time,BAC,BDT,CLIFTON_COURT,FRK_FRANKSTRACT,GLCGS,GLE,MDM,MHO,MSD,MTB,OLD,ORCCF,PPT,RINDG,SJG,UNI,VIC,VNI,WDCUT
01Jan1990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
02Jan1990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
03Jan1990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
04Jan1990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.000,0.000,0.000,0.000,0.000,0.000
05Jan1990,0.014,0.000,0.000,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.977,0.000,0.000,0.000,0.000,0.032,0.000
06Jan1990,0.675,0.000,0.002,0.944,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.007,12.053,0.000,0.000,0.000,0.000,2.306,0.195
07Jan1990,3.627,0.000,0.072,2.488,0.073,0.000,0.151,0.000,0.000,0.000,0.000,0.219,20.097,0.000,0.000,0.000,0.016,22.658,1.868
08Jan1990,7.377,0.000,0.453,4.437,0.596,0.000,0.979,0.000,0.000,0.050,0.000,1.244,26.552,0.001,0.000,0.000,0.308,47.997,5.256
09Jan1990,10.327,0.000,1.363,6.747,1.180,0.000,2.587,0.002,0.000,0.375,0.000,2.668,32.156,0.013,0.000,0.000,1.339,66.558,8.478
10Jan1990,13.385,0.000,2.778,9.615,2.224,0.000,5.122,0.029,0.000,1.291,0.000,4.411,38.661,0.077,0.000,0.000,3.229,78.333,11.462
11Jan1990,17.171,0.000,4.549,13.059,3.577,0.000,8.721,0.199,0.000,3.078,0.000,6.599,45.586,0.391,0.000,0.000,6.077,84.708,14.825
12Jan1990,21.369,0.000,6.817,16.488,5.196,0.000,13.605,0.715,0.000,5.757,0.000,9.361,48.940,1.247,0.000,0.000,10.046,85.564,18.823
13Jan1990,24.903,0.000,9.632,19.708,6.213,0.000,19.061,1.485,0.000,9.014,0.000,12.444,50.427,2.434,0.000,0.000,15.011,83.154,22.499
14Jan1990,27.076,0.000,12.730,22.803,6.095,0.000,23.741,1.982,0.000,11.627,0.000,14.943,52.692,3.208,0.000,0.000,19.773,84.557,25.080
