Time,BAC,BDT,CLIFTON_COURT,FRK_FRANKSTRACT,GLCGS,GLE,MDM,MHO,MSD,MTB,OLD,ORCCF,PPT,RINDG,SJG,UNI,VIC,VNI,WDCUT
01Jan1990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
02Jan1990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.252,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
03Jan1990,0.000,0.000,0.000,0.000,0.000,1.576,0.000,0.000,92.241,0.000,0.000,0.000,0.000,0.000,0.000,24.688,0.000,0.000,0.000
04Jan1990,0.000,0.281,0.000,0.000,0.836,55.323,0.000,0.010,98.470,0.000,5.784,0.000,0.000,0.000,0.000,93.481,0.000,0.000,0.000
05Jan1990,0.000,1.166,0.002,0.000,25.843,90.263,0.000,0.812,98.551,0.000,53.594,1.936,0.000,0.000,0.000,91.547,0.000,0.000,0.000
06Jan1990,0.000,1.106,0.008,0.000,59.033,89.525,0.000,1.812,98.721,0.000,80.595,12.216,0.000,0.000,0.000,89.376,0.000,0.000,0.000
07Jan1990,0.000,0.890,0.044,0.000,59.734,88.936,0.000,1.402,99.192,0.000,83.644,13.499,0.000,0.000,0.000,87.949,0.000,0.000,0.000
08Jan1990,0.000,0.908,0.095,0.000,50.613,88.482,0.000,2.013,99.219,0.000,80.354,12.506,0.000,0.000,0.000,91.663,0.000,0.000,0.000
09Jan1990,0.000,2.146,0.795,0.000,55.430,86.957,0.000,3.463,98.875,0.000,75.854,15.212,0.000,0.000,0.000,87.864,0.000,0.000,0.000
10Jan1990,0.000,1.723,0.568,0.000,50.215,87.737,0.000,3.254,99.255,0.000,74.583,15.228,0.000,0.000,0.000,90.707,0.000,0.000,0.000
11Jan1990,0.000,1.473,0.423,0.000,47.405,89.204,0.000,3.682,99.445,0.000,78.908,14.498,0.000,0.000,0.000,90.336,0.000,0.000,0.000
12Jan1990,0.000,0.966,0.332,0.000,47.174,89.041,0.000,3.410,99.546,0.000,81.068,14.811,0.000,0.000,0.000,88.828,0.000,0.000,0.000
13Jan1990,0.000,0.565,0.336,0.000,52.375,87.108,0.000,3.199,99.757,0.000,80.476,15.716,0.000,0.000,0.000,87.757,0.000,0.000,0.000
14Jan1990,0.000,1.742,0.422,0.000,60.034,87.470,0.000,5.549,99.763,0.000,81.357,18.695,0.000,0.000,0.000,92.212,0.000,0.000,0.000
15Jan1990,0.000,8.725,0.380,0.000,62.051,95.246,0.000,9.581,99.105,0.000,86.593,16.725,0.000,0.000,0.002,97.641,0.000,0.000,0.000
16Jan1990,0.000,13.613,0.274,0.000,68.329,97.171,0.000,7.296,98.929,0.000,90.809,11.881,0.000,0.000,0.014,97.094,0.000,0.000,0.000
17Jan1990,0.000,23.315,0.200,0.000,76.549,96.415,0.000,8.515,99.502,0.000,93.209,12.466,0.000,0.000,0.095,97.884,0.000,0.000,0.000
18Jan1990,0.000,34.963,0.146,0.000,76.066,97.294,0.000,8.381,99.147,0.000,93.011,9.167,0.000,0.000,0.458,98.555,0.000,0.000,0.000
19Jan1990,0.000,36.360,0.118,0.000,72.837,97.551,0.000,5.878,98.830,0.000,94.088,15.913,0.000,0.000,0.849,97.567,0.000,0.000,0.000
20Jan1990,0.000,31.588,0.101,0.000,70.129,97.039,0.000,3.247,98.855,0.000,95.018,20.903,0.000,0.000,0.859,96.711,0.000,0.000,0.000
21Jan1990,0.000,25.808,0.163,0.000,64.991,96.624,0.000,2.519,98.789,0.000,94.517,20.742,0.000,0.000,0.753,95.526,0.000,0.000,0.000
22Jan1990,0.000,22.076,0.103,0.000,52.284,95.372,0.000,3.032,99.048,0.000,93.524,17.676,0.000,0.000,0.697,96.292,0.000,0.000,0.000
23Jan1990,0.000,22.529,0.138,0.000,75.580,94.169,0.000,4.515,99.231,0.000,92.632,20.274,0.000,0.000,0.766,94.857,0.000,0.000,0.000
24Jan1990,0.000,18.744,0.114,0.000,61.554,94.574,0.000,2.650,99.343,0.000,91.975,18.566,0.000,0.000,0.683,96.181,0.000,0.000,0.000
25Jan1990,0.000,18.216,0.177,0.000,61.382,95.065,0.000,4.220,99.564,0.000,92.462,17.689,0.000,0.000,0.711,96.438,0.000,0.000,0.000
26Jan1990,0.000,16.214,0.231,0.000,58.276,95.411,0.000,5.034,99.630,0.000,91.855,16.386,0.000,0.000,0.638,96.705,0.000,0.000,0.000
27Jan1990,0.000,18.798,0.242,0.000,64.572,93.408,0.000,7.856,99.493,0.000,93.610,17.008,0.000,0.000,0.821,95.717,0.000,0.000,0.000
28Jan1990,0.000,21.698,0.249,0.000,64.115,96.592,0.000,9.768,99.310,0.000,92.275,13.915,0.000,0.000,0.963,97.790,0.000,0.000,0.000
29Jan1990,0.000,18.370,0.250,0.000,60.818,96.559,0.000,6.474,99.321,0.000,94.785,11.645,0.000,0.000,0.810,96.874,0.000,0.000,0.000
30Jan1990,0.000,12.890,0.181,0.000,62.589,95.615,0.000,4.265,99.691,0.000,95.973,10.268,0.000,0.001,0.562,94.636,0.000,0.000,0.000
31Jan1990,0.000,10.932,0.263,0.000,68.757,93.809,0.000,4.959,99.834,0.000,96.343,15.449,0.000,0.001,0.506,94.200,0.000,0.000,0.000
01Feb1990,0.000,10.885,0.168,0.000,67.270,94.708,0.000,6.172,99.563,0.000,95.252,10.705,0.000,0.001,0.553,93.628,0.000,0.000,0.000
02Feb1990,0.000,18.351,0.106,0.000,73.403,90.516,0.000,6.469,99.270,0.000,93.494,13.279,0.000,0.001,0.935,97.286,0.000,0.000,0.000
03Feb1990,0.000,18.402,0.105,0.000,66.536,95.367,0.000,2.307,99.062,0.002,91.377,12.400,0.000,0.002,0.870,95.642,0.000,0.000,0.000
04Feb1990,0.000,14.033,0.231,0.000,61.166,93.821,0.000,0.738,98.433,0.004,92.281,21.934,0.000,0.002,0.674,93.210,0.000,0.000,0.000
05Feb1990,0.000,16.320,0.145,0.000,57.618,89.905,0.000,0.560,97.865,0.007,89.932,18.973,0.000,0.003,0.768,94.733,0.000,0.000,0.000
06Feb1990,0.000,16.403,0.265,0.000,58.603,91.398,0.000,0.339,98.688,0.009,87.820,17.603,0.000,0.003,0.721,94.909,0.000,0.000,0.000
07Feb1990,0.000,25.510,0.334,0.000,66.452,90.807,0.000,0.279,98.773,0.015,88.994,17.940,0.000,0.004,1.085,96.824,0.000,0.000,0.000
08Feb1990,0.000,30.467,0.284,0.000,61.332,94.107,0.000,0.207,98.614,0.017,88.945,15.319,0.000,0.005,1.319,96.820,0.000,0.000,0.000
09Feb1990,0.000,32.986,0.240,0.000,64.390,93.970,0.000,0.147,98.808,0.017,91.208,15.426,0.000,0.006,1.568,96.850,0.000,0.000,0.000
10Feb1990,0.000,40.957,0.212,0.000,69.350,94.924,0.000,0.173,98.804,0.017,90.851,15.001,0.000,0.008,2.319,97.263,0.000,0.000,0.000
11Feb1990,0.000,44.315,0.184,0.000,70.301,95.660,0.000,0.155,98.887,0.014,91.177,13.678,0.000,0.009,2.901,97.564,0.000,0.000,0.000
12Feb1990,0.000,41.711,0.181,0.000,67.944,95.965,0.000,0.103,98.856,0.011,91.737,11.526,0.000,0.010,2.912,97.492,0.000,0.000,0.000
